Year,Store,Segments,Products,Sales,Profit in %,Quantity sold
2019,Walmart,Grocery,Frozen,123000,65,764
2019,Walmart,Grocery,Dairy,200300,45,456
2019,Walmart,Grocery,Beverages,150100,29,256
2019,Walmart,Grocery,Meat,230700,45,765
2019,Walmart,Pharmacy,Pain Relievers,450000,46,247
2019,Walmart,Pharmacy,COVID 19 Testing Kits,300000,74,877
2019,Walmart,Pharmacy,Vitamins,567000,65,642
2019,Walmart,Pharmacy,"Cold, Cough & Flu",698000,89,771
2019,Walmart,Clothing,Winter Wear,133000,35,463
2019,Walmart,Clothing,Sports Wear,119000,39,263
2019,Walmart,Clothing,Casual wear,130000,41,772
2019,Walmart,Clothing,Nightwear,137890,50,254
2019,Walmart,Beauty,Makeup,175400,20,884
2019,Walmart,Beauty,Hair Care,164300,18,649
2019,Walmart,Beauty,Bath & Body,176990,16,778
2019,Walmart,Beauty,Skincare,155430,14,470
2019,Walmart,Personal Care,Feminine care,135670,20,270
2019,Walmart,Personal Care,Men's Grooming,238970,19,779
2019,Walmart,Personal Care,Oral care,127600,48,261
2019,Walmart,Personal Care,Tanning & Sun care,138570,17,891
2019,Walmart,Electronics,TV,136980,73,656
2019,Walmart,Electronics,Cell Phones,245600,68,785
2019,Walmart,Electronics,Computers,201780,59,477
2019,Walmart,Electronics,Cameras,194060,38,277
2019,Target,Grocery,Frozen,143000,65,786
2019,Target,Grocery,Dairy,210300,45,268
2019,Target,Grocery,Beverages,190100,29,898
2019,Target,Grocery,Meat,280700,45,663
2019,Target,Pharmacy,Pain Relievers,470000,46,792
2019,Target,Pharmacy,COVID 19 Testing Kits,360000,74,484
2019,Target,Pharmacy,Vitamins,587000,65,284
2019,Target,Pharmacy,"Cold, Cough & Flu",718000,89,793
2019,Target,Clothing,Winter Wear,191000,35,275
2019,Target,Clothing,Sports Wear,139300,39,905
2019,Target,Clothing,Casual wear,130000,41,670
2019,Target,Clothing,Nightwear,117890,50,799
2019,Target,Beauty,Makeup,176400,20,491
2019,Target,Beauty,Hair Care,154300,18,291
2019,Target,Beauty,Bath & Body,155990,16,800
2019,Target,Beauty,Skincare,175430,14,282
2019,Target,Personal Care,Feminine care,145670,20,912
2019,Target,Personal Care,Men's Grooming,138970,19,677
2019,Target,Personal Care,Oral care,197600,48,806
2019,Target,Personal Care,Tanning & Sun care,193570,17,498
2019,Target,Electronics,TV,186980,73,298
2019,Target,Electronics,Cell Phones,285600,68,807
2019,Target,Electronics,Computers,211780,59,289
2019,Target,Electronics,Cameras,113060,46,919
2020,Walmart,Grocery,Frozen,145000,74,684
2020,Walmart,Grocery,Dairy,212300,65,813
